,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
194,Silvercup North,Bronx,2015,Performing Arts,Other,0,216.8,4009026.3,6649382.2,802.5,16217.966089617938
204,Split Rock,Bronx,1950,Hospital (General Medical & Surgical),Hospitality,100,151.5,406733.3,3763365.5,355.3,5750.6
224,Silvercup North,Bronx,2015,Other,Other,100,216.8,4009026.3,6649382.2,802.5,16217.966089617938
252,Highbridge Realty Associates,Bronx,1989,Multifamily Housing,Multifamily,100,64.8,24384312.42738699,1713231.6,151.9,13543.8
253,1710 Montgomery Avenue,Bronx,1927,Multifamily Housing,Multifamily,100,128.8,5147041.4,822381.0,346.3,4514.1
254,1730 Montgomery Avenue,Bronx,1990,Multifamily Housing,Multifamily,100,138.6,4609941.9,1239544.0,354.8,7162.6
255,1750 Montgomery Avenue,Bronx,1990,Multifamily Housing,Multifamily,100,56.7,24384312.42738699,1155757.0,102.5,9184.8
261,1165 Shakespeare Avenue,Bronx,1925,Multifamily Housing,Multifamily,100,127.4,2436490.3,519752.5,175.5,4523.0
262,Walton Realty Associates,Bronx,1931,Multifamily Housing,Multifamily,100,109.8,2496864.6,739649.7,198.2,4576.8
271,2186 Cruger Avenue Apartment Corp.,Bronx,1930,Multifamily Housing,Multifamily,100,10.1,92600.0,196114.9,22.3,16217.966089617938
274,919 Prospect Avenue - 25336,Bronx,1907,Multifamily Housing,Multifamily,100,184.9,4671083.2,1852937.3,412.4,16217.966089617938
276,600 W 239 Street - 40218,Bronx,1956,Multifamily Housing,Multifamily,100,110.1,7284149.6,1369058.8,508.3,16217.966089617938
287,40 Bruckner Blvd,Bronx,1914,Non-Refrigerated Warehouse,Industrial,100,31.8,77206.5,530453.4,51.1,420.2
302,Brush Ave,Bronx,2009,Distribution Center,Other,100,232.7,21090254.9,9993170.2,2006.2,16217.966089617938
305,Olinville Manor HDFC,Bronx,1963,Multifamily Housing,Multifamily,100,17.6,152566.2,163322.2,22.6,1749.9
311,831 Bartholdi Street,Bronx,1974,Multifamily Housing,Multifamily,100,110.6,7467420.0,2000136.9,574.0,16217.966089617938
312,3520 Dekalb Avenue,Bronx,1927,Multifamily Housing,Multifamily,100,139.6,4873532.6,682261.3,319.3,7224.1
314,East 163rd LLC 935 East,Bronx,1910,Multifamily Housing,Multifamily,100,190.6,5738786.5,1780901.0,462.7,16217.966089617938
315,Haran Realty Co LLC,Bronx,1925,Multifamily Housing,Multifamily,100,106.4,6546406.6,1337045.8,466.3,6469.2
316,Sabosa Realty Co LLC,Bronx,1926,Multifamily Housing,Multifamily,100,102.6,4621916.5,751036.3,312.1,1817.0
327,2241 WESTCHESTER AVENUE - 33697,Bronx,1990,Retail Store,Retail,100,306.7,1409606.3,2148629.1,265.4,1366.3
349,30 West 181st Street,Bronx,1926,Multifamily Housing,Multifamily,100,135.7,3743778.3,128438.1,210.2,5500.0
352,35-39 Marcy Place (Marcy Baer),Bronx,1991,Multifamily Housing,Multifamily,100,132.8,5724202.9,1608558.1,446.7,5859.7
353,1424-1426 Walton,Bronx,1924,Multifamily Housing,Multifamily,100,155.3,5506839.6,1146689.2,394.2,4900.5
354,1450-1456 Townsend,Bronx,1924,Multifamily Housing,Multifamily,100,123.6,3938763.8,831468.9,282.9,3654.2
355,1512-1514 Townsend,Bronx,1926,Multifamily Housing,Multifamily,100,139.2,6340213.1,1639797.5,482.1,5528.5
356,1530-1532 Townsend,Bronx,1926,Multifamily Housing,Multifamily,100,102.7,3081526.6,676989.3,223.7,2982.5
357,1615-1617 Walton,Bronx,1926,Multifamily Housing,Multifamily,100,161.5,6184923.6,1277825.7,441.8,5503.4
358,1525-1533 Townsend,Bronx,1927,Multifamily Housing,Multifamily,100,150.6,7082306.6,1547400.9,513.4,16217.966089617938
359,1610-1618 Walton,Bronx,1926,Multifamily Housing,Multifamily,100,124.2,4067850.2,774194.1,284.7,2580.8
362,550 Barry Street,Bronx,1910,Non-Refrigerated Warehouse,Industrial,100,47.5,1802499.7,199465.5,113.4,335.1
372,Matthew Adams 3900 Bailey Avenue,Bronx,1963,Multifamily Housing,Multifamily,100,77.3,6515056.6,3918613.9,693.5,16217.966089617938
373,1695 eastchester rd,Bronx,1992,Medical Office,Office,100,356.9,2183472.9,8259726.9,848.3,3453.8
376,"Shar Mar Realty, LLC",Bronx,1960,Multifamily Housing,Multifamily,100,81.1,4409261.4,152753.5,247.7,16217.966089617938
378,N12,Bronx,1940,Multifamily Housing,Multifamily,100,104.9,1913245.4,5522464.4,1575.2,16217.966089617938
379,N9,Bronx,1940,Multifamily Housing,Multifamily,100,107.0,937357.5,3224155.4,898.3,16217.966089617938
380,N10,Bronx,1940,Multifamily Housing,Multifamily,100,140.1,816448.5,4237342.8,1367.3,16217.966089617938
381,N7,Bronx,1940,Multifamily Housing,Multifamily,100,101.7,1166539.4,3770918.8,1351.4,16217.966089617938
382,N11,Bronx,1940,Multifamily Housing,Multifamily,100,89.5,498321.2,1465918.5,522.0,16217.966089617938
383,N2,Bronx,1940,Multifamily Housing,Multifamily,100,123.1,10180339.3,4512597.0,2089.0,16217.966089617938
384,N15,Bronx,1940,Multifamily Housing,Multifamily,100,114.6,1242687.9,4997671.4,1492.1,16217.966089617938
385,N14,Bronx,1940,Multifamily Housing,Multifamily,100,111.1,2730906.1,4147525.5,1480.8,16217.966089617938
386,N6,Bronx,1940,Multifamily Housing,Multifamily,100,93.8,1316472.8,3800894.2,1326.3,16217.966089617938
387,N13,Bronx,1940,Multifamily Housing,Multifamily,100,99.9,562821.3,1643474.4,611.5,16217.966089617938
388,N1,Bronx,1940,Multifamily Housing,Multifamily,100,105.9,902109.1,2856135.0,968.3,16217.966089617938
389,N8,Bronx,1940,Multifamily Housing,Multifamily,100,99.3,837848.5,2386664.8,885.4,16217.966089617938
390,N16,Bronx,1940,Multifamily Housing,Multifamily,100,103.0,715781.7,2132978.9,878.2,16217.966089617938
391,N3,Bronx,1940,Multifamily Housing,Multifamily,100,93.5,901036.4,3209416.2,915.1,16217.966089617938
392,N4,Bronx,1940,Multifamily Housing,Multifamily,100,90.0,1006018.2,2857339.6,977.4,16217.966089617938
393,N5,Bronx,1940,Multifamily Housing,Multifamily,100,97.7,861481.7,3176135.5,982.9,16217.966089617938
408,Barker Hall Condominium,Bronx,1960,Multifamily Housing,Multifamily,100,20.5,505305.0,452144.6,66.9,6810.8
423,Olnick - The Century,Bronx,1975,Multifamily Housing,Multifamily,100,152.4,77856834.8,17009164.0,5643.4,41084.5
431,1818 Anthony Ave.,Bronx,1956,Multifamily Housing,Multifamily,100,149.5,640503.2,1023454.8,543.7,4907.2
432,80 McClellan St.,Bronx,1964,Multifamily Housing,Multifamily,100,96.4,7112688.3,1452088.3,506.5,8634.6
433,185 McClellan St.,Bronx,1936,Multifamily Housing,Multifamily,100,149.7,10885091.9,2104416.0,764.7,11278.0
434,1181 Sheridan Ave.,Bronx,1936,Multifamily Housing,Multifamily,100,140.8,6662534.7,999956.0,442.5,16217.966089617938
436,2025 Walton Ave.,Bronx,1950,Multifamily Housing,Multifamily,100,147.8,5115480.5,972045.2,357.9,4455.5
437,1915 Morris Ave.,Bronx,1935,Multifamily Housing,Multifamily,100,147.7,362765.8,732861.7,511.9,3276.6
438,2390 Tiebout Ave.,Bronx,1936,Multifamily Housing,Multifamily,100,112.5,3845400.0,734848.7,269.4,16217.966089617938
439,2805 Pond Place,Bronx,1954,Multifamily Housing,Multifamily,100,112.8,4873359.1,762091.7,326.4,3359.8
440,1860 Morris Ave.,Bronx,1935,Multifamily Housing,Multifamily,100,144.2,520119.1,870865.3,557.1,5008.8
441,2256 Walton Ave.,Bronx,1920,Multifamily Housing,Multifamily,100,236.9,6812024.5,513884.5,407.4,16217.966089617938
442,214 East 178th St.,Bronx,1959,Multifamily Housing,Multifamily,100,150.9,270445.5,469553.6,248.9,16217.966089617938
443,2180 Grand Concourse,Bronx,1959,Multifamily Housing,Multifamily,100,145.7,261481.8,550262.2,278.3,16217.966089617938
444,935 Ogden Ave.,Bronx,1939,Multifamily Housing,Multifamily,100,136.7,128533.3,266271.4,184.9,16217.966089617938
445,2355/57 Prospect Ave.,Bronx,1925,Multifamily Housing,Multifamily,100,178.4,231928.1,577277.2,448.8,3161.2
449,River Park Residences,Bronx,1973,Multifamily Housing,Multifamily,100,160.6,143629691.3,34481331.4,10686.0,16217.966089617938
452,Baronsgate Towers LLC,Bronx,1900,Multifamily Housing,Multifamily,100,110.8,6789006.5,112676.6,370.6,10102.4
456,Somerset Towers LLC,Bronx,1924,Multifamily Housing,Multifamily,85,111.3,18260.0,163853.8,473.4,7906.5
472,3077 Cross Bronx Expressway,Bronx,1971,Multifamily Housing,Multifamily,100,118.1,6677231.3,2574439.3,582.9,7707.9
474,3601 Johnson Avenue,Bronx,1955,Multifamily Housing,Multifamily,100,90.4,6733000.3,1083112.9,453.7,3194.4
475,3600 Fieldston Road,Bronx,1941,Multifamily Housing,Multifamily,100,107.0,5599173.5,1058213.8,391.2,11649.6
487,Lurting Gardens,Bronx,1947,Multifamily Housing,Multifamily,100,73.4,6368980.4,147402.4,351.4,91.4
488,Grandview,Bronx,1938,Multifamily Housing,Multifamily,100,139.7,322145.5,681205.8,423.8,4419.3
497,0504-Bronx - Bruckner Boulevard,Bronx,2009,Self-Storage Facility,Other,100,46.1,2963199.7,868193.6,234.4,41.0
500,1042-Bronx - Edson AV,Bronx,2009,Non-Refrigerated Warehouse,Industrial,100,9.5,435200.0,202270.2,41.0,86.0
501,1213-Bronx - Fordham RD,Bronx,2009,Non-Refrigerated Warehouse,Industrial,100,21.7,15700.0,397562.8,36.1,28.0
503,8501-Bronx - Baychester OC,Bronx,2009,Self-Storage Facility,Other,100,26.1,24384312.42738699,555528.2,49.3,100.0
529,2385 Grand Avenue,Bronx,1961,Multifamily Housing,Multifamily,100,146.8,354110.0,880098.6,410.2,16217.966089617938
530,Pelham Management - 2198 Cruger Avenue,Bronx,1930,Multifamily Housing,Multifamily,100,149.2,8706734.3,1288646.0,576.7,16217.966089617938
531,Pelham Management - 2180 Bronx Park East,Bronx,1936,Multifamily Housing,Multifamily,100,126.4,419445.0,887514.3,561.8,16217.966089617938
532,Pelham Management - 2197-99 Cruger Avenue,Bronx,1928,Multifamily Housing,Multifamily,100,148.4,6861979.3,1026954.1,455.5,9115.0
533,Pelham Management - 2141 Holland Avenue,Bronx,1930,Multifamily Housing,Multifamily,100,220.9,9214992.6,1983306.4,665.3,561039.0
542,600 Burke Ave,Bronx,1968,Multifamily Housing,Multifamily,100,150.8,5755542.6,730418.7,370.5,4433.7
543,3472 Knox Place,Bronx,1931,Multifamily Housing,Multifamily,100,119.8,4069149.9,698850.3,278.1,7300.7
546,"369 149th Street Realty, LTD",Bronx,1929,Office,Office,100,194.6,24384312.42738699,1787318.6,286.6,887.9
547,2764-66 Realty LLC,Bronx,1943,Multifamily Housing,Multifamily,100,69.3,513583.3,665110.8,173.3,16217.966089617938
549,2065 Morris Avenue - CMC Development,Bronx,2008,Multifamily Housing,Multifamily,100,134.6,4425875.9,1386474.3,358.0,5302.9
556,Alini Enterprises Inc.,Bronx,1927,Multifamily Housing,Multifamily,100,104.0,1718687.9,357323.9,148.6,2826.9
557,Bandil Farms Inc.,Bronx,1952,Multifamily Housing,Multifamily,100,91.8,2538893.9,435756.8,173.5,2259.0
558,Villford Realty Corp.,Bronx,1926,Multifamily Housing,Multifamily,100,136.3,291093.8,1482253.7,479.3,179.2
559,"Commerce-Halsey, LLC",Bronx,1981,Office,Office,100,165.8,3849929.0,6836283.0,810.6,1509.8
590,zz Regency 171 W 230 St,Bronx,2013,Strip Mall,Other,100,221.9,446256.7,7939149.9,727.6,16217.966089617938
591,Treetop - 1610 Sedgwick Avenue,Bronx,2012,Multifamily Housing,Multifamily,100,110.3,4748586.6,1761981.3,408.4,8012.4
592,Treetop - 1600 Sedgwick Avenue,Bronx,1972,Multifamily Housing,Multifamily,100,127.8,28829784.2,7298250.3,2178.3,16217.966089617938
599,2151 Grand Concourse - 42902,Bronx,1940,Multifamily Housing,Multifamily,100,150.6,362733.3,3236874.7,306.2,16217.966089617938
631,Weiss Realty - 2105 Burr Avenue,Bronx,1927,Multifamily Housing,Multifamily,100,61.9,4137643.1,5425836.0760790175,219.8,3067.8
632,Weiss Realty - 2446 University Avenue,Bronx,1928,Multifamily Housing,Multifamily,100,76.4,4103954.6,5425836.0760790175,218.0,5056.0
633,Weiss Realty - 225-27 E. Mosholu Pkwy,Bronx,1925,Multifamily Housing,Multifamily,100,59.2,4961746.4,5425836.0760790175,263.5,16217.966089617938
634,Weiss Realty - 3120 Buhre Avenue,Bronx,1925,Multifamily Housing,Multifamily,100,67.7,4874683.3,5425836.0760790175,258.9,3854.0
635,Weiss Realty - 2900 St. Theresa Ave.,Bronx,1925,Multifamily Housing,Multifamily,100,111.1,5428574.0,5425836.0760790175,288.3,16217.966089617938
636,Weiss Realty - 1820 Loring Place,Bronx,1933,Multifamily Housing,Multifamily,100,80.1,6916137.9,5425836.0760790175,367.3,7726.4
637,Weiss Realty - 2320 Grand Concourse,Bronx,1938,Multifamily Housing,Multifamily,100,65.1,4869260.4,5425836.0760790175,258.6,6199.5
638,Weiss Realty - 4250 Van Cortlandt Park,Bronx,1941,Multifamily Housing,Multifamily,100,46.1,2706846.7,5425836.0760790175,143.8,1282.1
639,Weiss Realty - 2704 Wallace Ave.,Bronx,1933,Multifamily Housing,Multifamily,100,94.5,4997493.8,5425836.0760790175,265.4,16217.966089617938
640,Weiss Realty - 2707 Barnes Avenue,Bronx,1933,Multifamily Housing,Multifamily,100,84.0,4442378.7,5425836.0760790175,236.0,16217.966089617938
655,Simone Development 1390 Spofford,Bronx,1961,Non-Refrigerated Warehouse,Industrial,0,69.6,1857537.0,955478.3,183.4,125.3
658,2304 Sedgwick Avenue,Bronx,1927,Multifamily Housing,Multifamily,100,183.8,6075600.1,1995733.4,499.6,16217.966089617938
659,1694-98 Selwyn Avenue,Bronx,1925,Multifamily Housing,Multifamily,100,147.9,313090.0,880919.8,428.8,16217.966089617938
660,3021 Holland Avenue,Bronx,1929,Multifamily Housing,Multifamily,100,106.3,201501.8,492119.1,327.6,16217.966089617938
712,620 East 132nd Street,Bronx,1954,Manufacturing/Industrial Plant,Other,100,223.5,3708340.4,2186452.2,390.8,16217.966089617938
716,1157 E. 156 STREET LLC,Bronx,1920,Other,Other,100,222.8,813856.8,1502058.0,176.4,76.6
717,845 East 139 St,Bronx,1960,Non-Refrigerated Warehouse,Industrial,100,57.7,53359.4,376411.8,225.1,169.4
738,The Bruckner Building,Bronx,1928,Manufacturing/Industrial Plant,Other,30,58.9,35920.0,1418737.8,471.2,837.1
824,1465-1477 Townsend,Bronx,1927,Multifamily Housing,Multifamily,100,112.3,6945796.5,1405545.6,493.5,5824.3
825,1550 Townsend,Bronx,1928,Multifamily Housing,Multifamily,100,128.5,4930343.6,1063713.7,356.2,4335.0
828,114 East 168 Street,Bronx,1927,Multifamily Housing,Multifamily,100,136.3,6486872.7,870308.7,421.7,16217.966089617938
829,2150 Creston Avenue,Bronx,1937,Multifamily Housing,Multifamily,100,141.1,4579163.6,1196449.7,349.3,16217.966089617938
845,1212 MLK: 1212 MLK Blvd,Bronx,2006,Multifamily Housing,Multifamily,100,153.6,4324908.7,1103598.8,327.6,4153.6
846,Washington Avenue Apts: 1138 Washington Avenue,Bronx,2008,Multifamily Housing,Multifamily,100,117.7,2697436.4,987227.5,230.8,5642.1
849,Highbridge Terrace: Highbridge Terrace,Bronx,2012,Multifamily Housing,Multifamily,100,99.9,2927351.6,1181023.3,260.2,420.1
850,Highbridge Overlook: 240 West 167th Street,Bronx,2014,Multifamily Housing,Multifamily,100,91.0,6236615.7,2450342.8,548.5,8859.0
855,561 East 187th Street LLC,Bronx,1915,Multifamily Housing,Multifamily,90,118.6,274153.1,447933.0,152.1,2539.8
858,1545 Rhinelander Avenue - 34899,Bronx,1962,Multifamily Housing,Multifamily,100,135.5,9285279.2,2226458.1,690.6,9255.1
871,Cardinal Hayes High School,Bronx,1941,K-12 School,SpecialPurpose,100,64.5,14909548.9,2993393.6,1057.3,16217.966089617938
876,Exact - 970 Tinton Avenue,Bronx,1912,Multifamily Housing,Multifamily,90,114.7,2170166.8,479325.8,157.8,2388.9
877,Exact - 981 Union Avenue,Bronx,1911,Multifamily Housing,Multifamily,90,126.2,2058163.3,625771.5,164.8,16217.966089617938
878,Exact - 445 East 171st Street,Bronx,2001,Multifamily Housing,Multifamily,90,118.6,2827833.4,755585.0,217.2,1173.7
879,Exact - 2028 Washington Avenue,Bronx,1928,Multifamily Housing,Multifamily,90,136.2,2142846.6,554159.5,162.9,2732.3
880,Exact - 1590 East 172nd Street,Bronx,1928,Multifamily Housing,Multifamily,90,79.8,1468200.0,652285.7,135.8,16217.966089617938
887,3254 White Plains Road,Bronx,2010,Multifamily Housing,Multifamily,100,124.9,8052108.4,2714421.7,668.3,3678.1
898,349 East 149th Street LLC,Bronx,1931,Office,Office,100,226.0,2223.3,4475894.6,591.1,1778.9
925,Fordham. Rose Hill MAIN,Bronx,1841,College/University,Other,100,229.9,127499648.0,63096106.2,12826.0,16217.966089617938
926,Fordham. Walsh Library,Bronx,1997,Library,Other,100,169.3,16520086.8,7368537.0,1530.8,16217.966089617938
927,Fordham. O'Hare and Tierney Halls,Bronx,2000,Residence Hall/Dormitory,Other,100,102.9,11763768.6,3515538.7,936.5,16217.966089617938
928,Fordham. Coffey Sportplex,Bronx,1991,Other - Recreation,Other,100,58.3,24384312.42738699,4316762.3,382.7,16217.966089617938
929,Fordham. O'Hare Parking Garage,Bronx,2006,Parking,Other,100,48.5,24384312.42738699,7999296.4,709.2,16217.966089617938
930,Fordham. Campbell and Salice-Conley Halls,Bronx,2010,Residence Hall/Dormitory,Other,100,162.1,7094776.8,6227309.3,928.9,16217.966089617938
931,Fordham Faculty Memorial Hall,Bronx,1966,Office,Office,100,191.6,6490988.5,3327938.7,661.3,16217.966089617938
959,1650 Selwyn Milstein Building,Bronx,1925,Medical Office,Office,100,236.4,12286500.0,6359968.0,1267.7,17556.4
960,199 Mt Eden Health and Wellness Center,Bronx,2010,Medical Office,Office,90,432.1,3767199.7,7831222.8,894.4,680.7
961,1265 Fulton Nursing Home SNF,Bronx,1991,Medical Office,Office,100,291.4,4373199.8,8744274.1,1007.5,7532.4
962,1285 Fulton - Life Recover Building,Bronx,2011,Medical Office,Office,100,261.1,3560600.0,3402446.5,490.8,1387.1
963,1650 Grand Concourse Division,Bronx,1939,Other - Specialty Hospital,Hospitality,100,385.6,1465061.6,50146486.4,5511.9,44030.2
964,1276 Fulton Franklin Division,Bronx,1927,Other - Specialty Hospital,Hospitality,100,359.3,29823399.0,19541206.3,3761.2,86690.4
970,Sandra Erickson 1770 TOWNSEND AVENUE,Bronx,1925,Multifamily Housing,Multifamily,100,71.9,1281813.3,588256.7,120.2,16217.966089617938
972,2150 Wallace Avenue,Bronx,1929,Multifamily Housing,Multifamily,100,127.8,3363299.8,1698759.3,334.7,16217.966089617938
973,1111 Gerard Ave,Bronx,1989,Multifamily Housing,Multifamily,100,162.8,8950563.8,2178680.3,668.6,12231.6
974,1726 Davidson Avenue,Bronx,1927,Multifamily Housing,Multifamily,100,113.4,483060.0,878126.3,418.1,7163.1
977,2112 Starling Ave,Bronx,1963,Multifamily Housing,Multifamily,100,137.2,244683.3,986172.5,378.0,5157.1
978,1541-1551 Williamsbridge Rd.,Bronx,1928,Multifamily Housing,Multifamily,100,122.9,8212875.1,1454135.0,565.1,8735.6
989,1349 Stratford Avenue,Bronx,1929,Multifamily Housing,Multifamily,100,139.8,283056.7,928464.3,586.6,9789.6
990,3816 Review Place,Bronx,1927,Multifamily Housing,Multifamily,100,127.7,216360.0,830494.0,490.4,5286.5
994,1130 Stadium Avenue - 30018,Bronx,1963,Multifamily Housing,Multifamily,100,133.4,10523560.0,2472641.4,778.2,7115.2
1022,1370 University Ave,Bronx,1928,Multifamily Housing,Multifamily,100,131.8,294490.9,714913.7,464.0,6832.9
1023,3950 Bronx Blvd,Bronx,1929,Multifamily Housing,Multifamily,100,119.2,1466715.5,750960.7,331.9,4041.1
1025,3136-3140 Godwin Terrace,Bronx,1928,Multifamily Housing,Multifamily,100,74.6,367256.7,798020.4,273.7,5704.4
1026,2980 Valentine Avenue,Bronx,1931,Multifamily Housing,Multifamily,100,93.3,2288394.1,1027268.1,562.7,16217.966089617938
1029,1520 Thieriot Avenue,Bronx,1929,Multifamily Housing,Multifamily,100,95.6,376763.6,792653.9,320.7,1097.1
1030,277 Van Cortlandt Avenue East,Bronx,1967,Multifamily Housing,Multifamily,100,118.7,416400.0,1039062.3,452.6,7913.2
1031,2940 Grand Concourse - 36233,Bronx,1923,Multifamily Housing,Multifamily,100,100.8,508916.1,2481227.4,247.0,11206.9
1032,480 Concord Avenue,Bronx,1928,Multifamily Housing,Multifamily,100,121.1,4965387.4,1004690.9,352.8,16217.966089617938
1033,2701 Grand Concourse,Bronx,1928,Multifamily Housing,Multifamily,100,117.1,6558799.8,1276129.7,461.5,16217.966089617938
1034,2010 Powell Ave,Bronx,1929,Multifamily Housing,Multifamily,100,208.8,10824542.5,1360557.6,695.6,15524.2
1035,1970 Walton Ave,Bronx,1927,Multifamily Housing,Multifamily,100,172.5,6288054.6,1645099.2,479.8,8449.1
1040,333 EAST MOSHOLU LLC,Bronx,1923,Multifamily Housing,Multifamily,100,123.2,463339.4,809516.3,433.7,5263.3
1041,150-160 West 168th Street,Bronx,1928,Multifamily Housing,Multifamily,100,172.8,5214518.7,1584399.0,417.4,16217.966089617938
1043,15 East Clarke Place,Bronx,2006,Multifamily Housing,Multifamily,100,159.5,8876578.2,2871876.5,726.1,11806.1
1044,35 East Clarke Place,Bronx,2002,Multifamily Housing,Multifamily,100,142.4,4479224.0,1653894.7,384.5,16217.966089617938
1046,582-588 Union Avenue,Bronx,1926,Multifamily Housing,Multifamily,100,123.6,3224181.5,1091892.8,268.1,16217.966089617938
1047,1051-1057-1061-1065 Boston Road,Bronx,1906,Multifamily Housing,Multifamily,100,158.2,6801978.3,1573700.1,500.8,16217.966089617938
1048,277-279-281-283-285 Brook Avenue,Bronx,1904,Multifamily Housing,Multifamily,100,141.2,4561856.7,1265161.5,354.5,16217.966089617938
1049,3890 Sedgwick Ave.,Bronx,1958,Multifamily Housing,Multifamily,100,146.5,4111109.6,1322071.4,335.6,3698.9
1050,66 West Gun Hill Road,Bronx,1926,Multifamily Housing,Multifamily,100,112.3,270596.7,622348.6,333.5,5393.2
1051,2155 Paulding Avenue,Bronx,1954,Multifamily Housing,Multifamily,100,118.3,556445.5,1390014.3,504.7,16217.966089617938
1052,2800 Jerome Avenue,Bronx,1939,Multifamily Housing,Multifamily,100,135.5,429258.1,1165195.3,500.0,7103.6
1053,3536 Hull Avenue,Bronx,1928,Multifamily Housing,Multifamily,100,97.6,408169.7,784921.0,432.2,4759.8
1054,1834 Phelan Place,Bronx,1926,Multifamily Housing,Multifamily,100,143.6,385409.4,915196.8,453.5,2861.3
1055,3510 Bainbridge Avenue Co,Bronx,1926,Multifamily Housing,Multifamily,100,171.6,5009563.5,1414525.2,391.5,5099.2
1056,1840 Concourse Associates,Bronx,1926,Multifamily Housing,Multifamily,100,132.1,4958906.6,1117770.3,362.5,16217.966089617938
1057,2690 Morris Avenue LLC,Bronx,1927,Multifamily Housing,Multifamily,100,123.8,6129225.9,1088018.9,422.0,12244.6
1058,764-768 Brady Avenue,Bronx,1933,Multifamily Housing,Multifamily,100,48.1,600330.0,1178356.5,136.4,16217.966089617938
1059,2081 Cruger Avenue,Bronx,1931,Multifamily Housing,Multifamily,100,106.3,24384312.42738699,994361.8,551.9,16217.966089617938
1060,754-756 Brady Avenue,Bronx,1932,Multifamily Housing,Multifamily,100,95.8,4513646.8,787865.5,309.6,16217.966089617938
1061,758-760 Brady Avenue,Bronx,1932,Multifamily Housing,Multifamily,100,90.9,61254.7,437840.8,392.0,4780.6
1062,445 West 240th St,Bronx,1949,Multifamily Housing,Multifamily,100,132.7,5269000.1,1557418.8,417.9,4082.6
1063,511 West 232nd St,Bronx,1937,Multifamily Housing,Multifamily,100,144.1,6204999.7,1111974.5,428.2,3291.9
1064,609 Kappock St,Bronx,1962,Multifamily Housing,Multifamily,100,98.5,5087906.3,887805.1,349.0,2307.0
1065,3530 Henry Hudson Pkwy,Bronx,1955,Multifamily Housing,Multifamily,100,94.9,16489609.7,3911721.3,1222.7,9677.5
1066,6300 Riverdale Ave,Bronx,1962,Multifamily Housing,Multifamily,100,101.0,4921975.0,927952.4,343.7,1846.2
1067,6535 Broadway,Bronx,1969,Multifamily Housing,Multifamily,100,105.9,3873790.1,755962.2,272.8,2240.2
1068,325 East 201st Street,Bronx,1950,Multifamily Housing,Multifamily,100,77.3,4556118.5,845409.6,317.0,2568.8
